2;-5 -4 -3 -1
1;-5 -4 -3 -1 0
45;-50 -65 -48 -1 70 -24 54 -80 -45 -92 44 -69 11 65 25 -76 41 -79 43 -47 64 98 66 -70 18 -69 86 78 -14 -16 37 -2 -42 -75 65 45 47 69 19 -67 31 58 -50 -24 58 33 -88
49;-71 45 93 8 -71 -69 2 -33 64 -30 27 48 68 -55 96 -24 -98 36 42 -91 27 89 30 80 92 91 -6 -58 -34 -89 -47 1 56 -49 -55 49 -34 1 -63 -51 82 -67 -97 -80 -3 57 50 -87 99 88 21 37 -52 90 -25 -44 -99 35 -50 -95 24 -63 -43 -73 27 88 20 13 -80 -21 92 72 -97 -98 89 60 -55 -16 -28 3 -18 98
34;-61 99 53 85 0 68 -16 -75 -77 55 44 -89 45 81 -45 -11 -84 -80 93 26 -71 -23 46 32 -71 26 57 35 60 40 -59 74 -78 83 -69 -96 -49 -60 61 87 -87 -30 93 94 38 -26 -81 -81 13 77 14 -54 -77 27 65 7 76 -62 71 -37 29 -5 -12 -25 -12 -12 84 13 -27 62 -4 -84 81 -67 24 11 40 42 54 78 -53 91 -44 87 44 93 -50 77
4;48 -69 13 -66 -29 -44 33 -43 -76 -41 42 95 68 -39 -92 56 -74 73 -92 -50 -44 43 60 51 -46 -42 95 -59 10 -14 -24 88 91 85 -95 73 -75 -34 -37 31 32 83 70 54 -30 -35 -67 74 -99 -68 31 -89 -35 -93 49 -47 -78 -8 15
45;81 56 51 66 -90 -85 90 -9 98 84 8 -28 -20 81 -59 7 77 -6 55 -24 -69 -62 39 -13 -7 57 81 67 35 -1 84 83 51 79 -64 -43 -64 -19 -26 -41 20 -94 64 13 44 56 71 -89
26;47 21 -81 -69 -11 -84 93 8 23 94 10 -44 34 -81 -42 -23 -70 -75 31 16 65 -70 -56 83 84 -38 -64 56 -38 59 -3 20 17 29 59 -58 -22 -76 60 -33 12 6 -26 -77 -3 32 -62 -20 69 -98 -35 80 93 79 -15 -63 -1 6
3;-71 2 -94 -46 -66 -22 29 -30 -36 93 75 -71 81 -65 5 70 83 -25 -21 -24 -20 -19 54 87 28 -7 8 -43 -39 -70 34 -29 97
21;-74 65 74 36 -25 -84 1 93 -2 4 -47 51 18 39 -66 82 8 -4 26 35 36 50 48 -42 56 -4 75 -40 71 -22 -21 65 15 -80 -89 -75 -87 -82 -85 -62 45 -38 12 92 6 -18 -59 51 23 -90 35
37;-64 -68 -87 50 85 79 60 81 -43 75 46 48 -43 5 -22 75 -99 48 -37 54 71 20 15 59 13 -7 7 -8 86 -56 -43 -38 25 63 0 12 -89 -49 -70 44 -50 -94 48 -5 14 63 35 -82 -1 97 -81 22 -52 -32 -83 63 31 -87 72 65 93 -93 -83 9 -6 -52 32 68 -15 54 63 -66 -74 -89 30 -22 -50 16 15 17 -19 97 58 55 -66 -60 59 -81 -95 -56 9 90 -94 -17
37;-44 -39 -88 -99 65 -14 -28 -81 -62 12 2 -58 11 91 -96 -62 -38 51 34 42 -44 -27 3 -53 -45 -31 -52 -52 -68 56 97 -46 79 19 -31 59 53 97 55 -1 95 -70 84 -64 -36 -17 -87 -92 89 71 -71 -6 34 39 56 32 68 -57 10 41 -38 -36 94 50 -92 80 22 39 16 -44 62 -3 48 65 8 -79 55 41 71 81 -27 79 -82 26 97 45 76 -26 28 28 -25 -2 -87 97 -67
40;-79 18 -42 54 69 87 1 80 -98 89 -93 -54 -69 -42 50 -48 -22 87 -27 25 42 76 -74 70 4 -64 -39 -7 -65 25 -57 55 55 -44 31 15 -19 -40 -28 -34 98 -95 -59 74 52 -86 17 -59 23 -8 -1 8 -51 -71 -63 -30 -29 -71 74 71 -65 -40 -25 -43 83 -41 20 -4 56 -32 78 98 59 -86 -70 -30 19 79 6 20 11 4 98 73 66 82 -8 -6
43;47 -75 19 -44 58 -8 -76 90 19 46 72 27 42 31 55 -66 94 27 46 8 -3 -98 -5 16 11 -16 -30 -85 6 98 -14 -63 -57 -15 83 55 74 -3 9 66 11 95 -22 -6 -94 -14
12;51 26 79 -58 -58 -88 7 -78 -26 -93 -74 -8 -30 -76 -16 43 45 -15 -70 -55 79 93 -25 -14 -56 89 16 41 -40 19 -57 -44 -93 -93 36 -11 28 80 62 70 74 50 -82 6 32 26 -72 -68 -69 90 -26 -15 -96 74 -84 67 -66 98 -60 -47 39 6 -16 89 11 -82 -65 -14 10 -4 -45 90 -41 38 -73 65 35 48 -56 5 52
13;75 -68 -77 26 -13 19 -70 -10 11 -65 68 -37 14 2 -50 73 -5 -63 64 -74 -34 -64 28 -32 90 -44 72 -99 -5 47 -83 76 -76 57 -61 -86 -85 80
36;43 -71 29 89 44 94 -97 -7 71 -41 22 51 -63 -91 -25 34 -5 -33 -43 -82 -69 70 -55 -72 -46 -40 50 -64 -11 6 -38 -84 -90 -2 -24 -27
19;90 -79 -31 -10 -25 -7 -98 -33 22 52 72 44 -57 -98 39 92 -13 7 -93 70 -15 -15 84 -54 38 50 87 -57 58 76 50 -81 71 39 22 70 -3 36 -55 -10 14 -94 -12 -58 -99 74 88 -27 -53 -19
27;-32 -90 -37 64 -8 -39 -32 -69 61 -25 -70 16 -26 -1 0 36 -8 -63 -18 -22 -92 -49 -20 17 -85 1 -31 57 -48 35 20 -19 -77 44 82 -79 -85 -70 27 -1 -77 57 -61 -66 25 95 -31 96 -92 85 36 -4
17;-26 -33 25 79 -81 -64 -94 -24 20 -39 -67 77 -16 1 26 67 -97 40 -72 15 20 95 -47 -55 -4 -82 -7 -7 1 23 38 49 43
